"","province_CH","province_EN","total_confirm"
"1","香港","Hongkong",5479
"2","上海","Shangahi",1285
"3","台湾","Taiwan",607
"4","四川","Sichuan",792
"5","陕西","Shannxi",487
"6","广东","Guangdong",1972
"7","福建","Fujian",461
"8","内蒙古","Inner Mongolia",307
"9","天津","Tianjing",291
"10","江苏","Jiangsu",677
"11","湖北","Hubei",68148
"12","新疆","Xinjiang",980
"13","辽宁","Liaoning",289
"14","山西","Shanxi",220
"15","浙江","Zhejiang",1291
"16","河南","Henan",1288
"17","云南","Yunnan",217
"18","北京","Beijing",947
"19","河北","Hebei",373
"20","甘肃","Gansu",181
"21","安徽","Anhui",992
"22","湖南","Hunan",1020
"23","山东","Shandong",849
"24","贵州","Guizhou",147
"25","重庆","Chongqin",589
"26","宁夏","Ningxia",75
"27","吉林","Jilin",157
"28","海南","Hainan",171
"29","江西","Jiangxi",935
"30","西藏","Tibet",1
"31","澳门","Macao",46
"32","广西","Guangxi",260
"33","黑龙江","Heilongjiang",949
"34","青海","Qinghai",18
