"","name","today.confirm","today.confirmCuts","today.isUpdated","total.nowConfirm","total.confirm","total.suspect","total.dead","total.deadRate","total.showRate","total.heal","total.healRate","total.showHeal"
"1","境外输入",0,0,1,8,   13,0,   0,0.00,FALSE,    5,38.46,TRUE
"2","襄阳",0,0,0,0, 1175,0,  40,3.40,FALSE, 1135,96.60,TRUE
"3","荆州",0,0,0,0, 1580,0,  52,3.29,FALSE, 1528,96.71,TRUE
"4","咸宁",0,0,0,0,  836,0,  15,1.79,FALSE,  821,98.21,TRUE
"5","宜昌",0,0,0,0,  931,0,  37,3.97,FALSE,  894,96.03,TRUE
"6","黄冈",0,0,0,0, 2907,0, 125,4.30,FALSE, 2782,95.70,TRUE
"7","十堰",0,0,0,0,  672,0,   8,1.19,FALSE,  664,98.81,TRUE
"8","孝感",0,0,0,0, 3518,0, 129,3.67,FALSE, 3389,96.33,TRUE
"9","仙桃",0,0,0,0,  575,0,  22,3.83,FALSE,  553,96.17,TRUE
"10","武汉",0,0,0,0,50340,0,3869,7.69,FALSE,46471,92.31,TRUE
"11","神农架",0,0,0,0,   11,0,   0,0.00,FALSE,   11,100.00,TRUE
"12","黄石",0,0,0,0, 1015,0,  39,3.84,FALSE,  976,96.16,TRUE
"13","随州",0,0,0,0, 1307,0,  45,3.44,FALSE, 1262,96.56,TRUE
"14","鄂州",0,0,0,0, 1394,0,  59,4.23,FALSE, 1335,95.77,TRUE
"15","天门",0,0,0,0,  496,0,  15,3.02,FALSE,  481,96.98,TRUE
"16","潜江",0,0,0,0,  198,0,   9,4.55,FALSE,  189,95.45,TRUE
"17","恩施州",0,0,0,0,  252,0,   7,2.78,FALSE,  245,97.22,TRUE
"18","荆门",0,0,0,0,  928,0,  41,4.42,FALSE,  887,95.58,TRUE
